story,Meta-Llama-3-70B-Instruct_ICScore,Meta-Llama-3-8B-Instruct_ICScore,Mistral-7B-v0.1_ICScore,Mixtral-8x7B-v0.1_ICScore,gemma-7b_ICScore
.Sarah suffered from anxiety Her therapist recommended she get a cat. Sarah looked up several likely shelters and visited them. Sarah adopted a cat. Sarah is much less anxious now.,0.8913652746597843,1.234506469357116,1.2205098808220223,1.208356172399285,1.0772288818838807
"A hunter was in his hunter's stand in the woods. A bear had approached his stand slowly, with curiosity. The hunter was extremely nervous and lifted his gun. To his horror, the bear climbed the tree and sniffed around the hunter The hunter decided to stay still until the bear left.",0.09208469497502898,0.33167090319595816,0.2498295670816804,0.31428197693956983,0.20386705394119997
"A little boy played with a ball alone. Someone brought a little girl into the room with him. She wanted to play with the ball and he was afraid to let her. However he allowed her to play with the ball as well. They continued to play until they went home, not alone anymore.",0.25787975856010126,0.2771189377801933,0.26352047923221594,0.41027556965449674,0.22607663282853366
A thief tried to approach an old lady in the street. He didn't realize that she's a kung fu mentor. She was able to knock him out. He fell on the floor. The police officers came and tool him to jail.,0.1383735234894849,0.31664391549124776,0.2146432557000108,0.20928765429819396,0.24608315883689622
Alex awoke when the sun rose. She realized she had forgotten to close the shades. She decided to get up since she was already awake. She took an extra long shower because she had the time to. Alex left her house early with a plan to get to work early.,0.3519214784131066,0.36047121328361864,0.1832332642895395,0.2508600523103612,0.2824076643370996
Alex was home sick from school. He awoke to see his Grandma in the kitchen. Alex was happy she came to take care of him. Grandma put Vicks on his chest and gave him ginger ale. Grandma was better than dad at taking care of sick kids.,0.7126902656699441,0.3803268857208717,0.45394177605513863,0.3881286429535601,0.5937373893466475
"Anna squeezed into her favorite old jeans. They were a few sizes too small. She managed to zip them, though, so she thought it was okay. But when she crouched later, the jeans ripped! Anna wished she hadn't worn such tight jeans.",0.185443655059379,0.46336786494129834,0.26365586217194004,0.29651914081800246,0.4189019914632795
"Arthur wanted to start impressing girls. He persuaded his mother to buy him a gold necklace. She bought it and he wore the necklace with pride. But it attracted more guys than girls. Finally, a guy with a group of guys snatched it from Arthur's neck.",0.05069805604880045,0.13169524847417133,0.08809879951674932,0.26861732284381684,0.09902087159738596
"Cathy loved to play tennis. However, her serve was terrible. She finally decided to start taking lessons. Her swing started to show improvement. Cathy was glad she was able to hit better.",0.6565043786560738,0.8255058643937272,0.784742103606646,0.7253103343374874,0.7117372532773933
Every year my in-laws take my family to Disney World. We stay at one of the resorts right on the grounds. We visit the parks and stay late every night. By the end of the week we are all exhausted and ready to go home. But we are always ready to go back when the next year rolls around.,0.9819872855255505,0.5338540646530897,0.5713543085761632,0.5623033831908026,0.8680467140055635
Fatima graduated high school. She decided to go to college. Her grades were not good in high school. She went to a community college and did well. She transferred to a large university.,1.2119549134792436,1.0923354744891185,0.818510578712554,0.833028360744106,0.7627677300494273
"I was a Brockton Rox fan. They played minor league baseball in Brockton, MA. I saw them play three times. Once I saw El Guapo, a former Red Sox, pitch. I was sad to see the Rox leave pro baseball.",0.6187443476403344,0.5011706737895477,0.5824966137748937,0.5119967227454834,0.7182834393556026
"Jane worked hard on the big project at work. She needed, but had no help. She hurried to prepare everything Somehow she managed to finish on time. She was relieved when her boss was impressed by her work.",0.6045556150858048,0.9380296096503793,0.8267838765352757,0.9415099139161369,0.5538460798758988
Kara was on a diet. She had lost a lot of weight. Kara's waist was getting smaller. Her clothes weren't fitting anymore. Kara had to buy new clothes.,1.2835166505746,0.9991404323365849,0.9114326298726131,0.8667380628215161,1.1123165930674006
Kelly was excited to get a new handbag. She searched everywhere for a black bag. She was very particular. She finally found a Marc Jacobs bag at Bloomingdales. She immediately picked it up.,0.6193045566808815,0.44994924262670083,0.506015260919559,0.43502312887987904,0.5643402880156608
Matthew wanted to got trick or treating with his friend Micah. Micah already had plans to go trick or treating with his cousins. Matthew's mom suggested Mathew try calling Jack. Jack agreed to trick or treat with Matthew. Jack and Matthew collected lots of candy.,0.494344485192859,0.3859287787631327,0.31968472766081424,0.2916985242421295,0.43871309563559185
Mikey was looking for a part-time job. Mikey searched online for places to work. He noticed a local gas station for hiring for the night shift. Mikey sent his resume on the company's website. Mikey rejoiced when he landed an interview.,0.21001368469031062,0.3320764688703032,0.21940243388053435,0.34107065691809596,0.23151315732330083
Sal needed a new car. He had no idea what he wanted. He went to the dealership. He took test drives. Sal now has a better idea.,0.42272418749090135,0.4382331212343537,0.2670819259116629,0.2371872751808254,0.25392209819977857
Shane decided to cook some dinner. He made homemade macaroni and cheese. He loved mixing the melted cheese together. He crumbled some bacon on top. It was his secret recipe and it was delicious!,0.430037637100703,0.3589709500404277,0.3664906561737737,0.3665624664153711,0.3336071175832973
The family lives down the road from a park. The kids ask Becky to take them there. Becky takes the kids to park to play. They all have a fun time. They can't wait to go again.,0.7581170076365067,0.4481497781201168,0.4503304350612743,0.463202704636351,0.5146033103452606
